2870,"Army arrests 2 Pak LeT terrorists, releases their confession videos","Indian Army has said they arrested two Pakistani nationals associated with terrorist group Lashkar-e-Taiba while they were trying to infiltrate India through J&K on August 21. They also played the men's confession videos. ""During questioning the two LeT guides revealed that their handlers across the LoC are planning to push in groups of terrorists to...launch attacks in Kashmir,"" officials said.",India.com,"Srinagar: The Indian Army on Wednesday said that two Pakistan nationals associated with Lashkar-e-Taiba (LeT), trying to infiltrate India through Jammu and Kashmir border, were arrested from the LoC.The army officials said this while addressing the media on Wednesday morning. They also played confession videos of the arrested men during the address.Advertisement
                
                    Powered by PlayStream
                
            The Army also said that Pakistan is trying to disrupt peace in the Valley.�Pakistan is desperate to infiltrate maximum terrorists into the Kashmir valley to disrupt peace in the Valley. On August 21, we apprehended two Pakistani nationals who are associated with Lashkar-e-Taiba,� Lieutenant General Kanwal Jeet Singh Dhillon said.#WATCH SRINAGAR: Indian Army releases confession video of two Pakistani nationals, who are associated with Lashkar-e-Taiba, and were apprehended on August 21. #JammuAndKashmir pic.twitter.com/J57U3uPZBl� ANI (@ANI) September 4, 2019�During questioning the two LeT guides revealed that their handlers across the LoC are planning to push in groups of terrorists to disrupt peace and launch attacks in Kashmir,� said the Army.Further, the Indian Army also reached out to the youngsters and urged them not to pick up weapons.Lt General Dhillon said, �Youngsters of Jammu and Kashmir should work hard for a better future and not be lured towards picking up weapons.��You have to make your parents and your family proud. You have all the opportunities in the world at your doorstep�Kashmir�s youth is the future of Kashmir,� he added.The press conference comes at a time when the Valley is under unprecedented lockdown. The communication and movement blockade has entered the fifth week now.",https://www.india.com/news/india/jk-army-apprehends-2-pakistan-nationals-from-loc-calls-them-associated-with-let-3764351/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts

2872,FB to notify all users if others try to use their pics in own profile,"Facebook has announced that it's removing the 'tag suggestions' feature which uses facial recognition technology to identify users in photos and videos. It added that it's now offering its broader 'face recognition' setting, earlier available to select users since December 2017, to all users. The setting notifies users if others try to use the users' image as own profile picture.",Reuters,"(Reuters) - Facebook Inc is opening up its face recognition technology to all users with an option to opt out, the social media company said on Tuesday, as it discontinued a related feature called �Tag Suggestions.� The old feature enabled users to choose whether Facebook could suggest that their friends tag them in photos, without giving them control over other uses of the technology. The face recognition setting, available to some Facebook users since December 2017, has additional functions such as notifying account holders if their profile photo is used by someone else. People who opt in to the new setting will still have tag suggestions automatically generated about them. Facebook�s face recognition technology has been at the center of a privacy related lawsuit since 2015.  The lawsuit by Illinois users accused the company of violating the state�s Biometric Information Privacy Act, claiming it illegally collected and stored biometric data of millions of users without their consent. Last month, a federal appeals court rejected Facebook�s effort to undo the class action status of the lawsuit. �We have always disclosed our use of face recognition technology and that people can turn it on or off at any time,� Facebook said last month. The company said it continues to engage with privacy experts, academics, regulators and its users on face recognition and its control options. Reporting by Neha Malara in Bengaluru; Editing by Arun Koyyur and Richard Chang",https://www.reuters.com/article/us-facebook-face-recognition/facebook-brings-face-recognition-to-all-users-discontinues-tag-suggestions-idUSKCN1VO2C7?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts

2873,Facebook CEO must face prison for privacy issues: US Senator,"US Democratic Senator Ron Wyden has said that Facebook Co-founder and CEO Mark Zuckerberg must face prison time over various privacy issues faced by the social media giant. ""Mark Zuckerberg has repeatedly lied to the American people about privacy...he hurt a lot of people,"" Wyden said. ""I think he ought to be held personally accountable,"" he also added.",Times Now,"Washington:�Democrat Senator Ron Wyden from Oregon is demanding jail term for Facebook CEO Mark Zuckerberg, saying he should face serious consequences for letting his social media platform misuse consumers' personal data.""Mark Zuckerberg has repeatedly lied to the American people about privacy. I think he ought to be held personally accountable, which is everything from financial fines to -- and let me underline this -- the possibility of a prison term,"" Senator Wyden told Portland's Willamette Weekly newspaper.""He hurt a lot of people,"" added Wyden who introduced a bill in 2018 that would give the US Federal Trade Commission powers to punish firms that violate consumers' data privacy, MarketWatch reported on Tuesday. ""In financial services, if the CEO and the executives lie about the financials, they can be held personally accountable,"" Wyden added.In July, the US FTC slapped a massive $5 billion fine on Facebook over users' privacy violations in the Cambridge Analytica scandal, along with the US Securities and Exchange Commission (SEC) directing the social networking platform to pay $100 million penalty for making misleading disclosures regarding the risk of misuse of user data.Apart from the record-breaking $5 billion penalty, Facebook was asked to submit to new sweeping restrictions and a modified corporate structure that will hold the company accountable for the decisions it makes about its users' privacy.There have been several incidents after the Cambridge Analytica episode where Facebook acknowledged series of privacy lapses, including the latest admission that it mishandled millions of users' passwords on Instagram and ""unintentionally"" uploaded emails of nearly 1.5 million of its new users.",https://www.timesnownews.com/technology-science/article/facebook-ceo-mark-zuckerberg-must-face-prison-for-privacy-woes-us-senator/482232?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts

2874,"Tesla driver from 2018 crash was eating, had Autopilot on: US agency","US government investigative agency NTSB's preliminary report on the 2018 crash involving a 2014 Tesla Model S and a fire truck claimed that the car was in Autopilot mode. Autopilot was engaged continuously for the final 13 minutes 48 seconds before the collision, NTSB said. ""I was having a coffee and a bagel,"" the car's driver also told the NTSB.",Reuters,"WASHINGTON (Reuters) - The National Transportation Safety Board (NTSB) said on Tuesday that a Tesla Model S was in Autopilot mode and the driver�s hands were off the wheel when it struck a fire truck in Culver City, California, one of a series of crashes the board is investigating involving Tesla�s driver assistance system. The 2014 Model S Autopilot system was engaged continuously for the final 13 minutes 48 seconds of the trip before the vehicle struck a fire truck parked on Interstate-405 in January 2018, the NTSB safety board said in documents posted on Tuesday. The board plans to issue a report detailing the crash�s probable cause on Wednesday. The driver kept his hands off the wheel for all but 51 seconds of the final drive segment and received numerous alerts to place his hands back on the wheel, the documents showed. Tesla Inc did not immediately comment. The fire truck was unoccupied and the driver was not injured in the incident. �I was having a coffee and a bagel. And all I remember, that truck, and then I just saw the boom in my face and that was it,� the man behind the wheel told the NTSB. The report says the Tesla was following a vehicle for an extended period at a speed of around 21 miles per hour (33.8 kph) when the vehicle ahead changed lanes seconds before the crash After the vehicle in front shifted, the Tesla began accelerating toward the driver-set cruise control speed of 80 mph (129 kph) and hit the parked fire truck while going 30.9 mph. The system did not detect the driver�s hands on the wheel for the final 3 minutes and 41 seconds of the crash. He did not remember precisely what he was doing at the time of the crash but could have been changing the radio or drinking coffee. Records show the driver was not using his cellphone to text or talk at the time of the crash, the NTSB said. Tesla�s Autopilot was engaged during at least three fatal U.S. crashes, including fatal March 2018 crashes of a 2018 Model 3 in Delray Beach, Florida and in Mountain View, California of a Model X. Both of those crashes remain under investigation by the NTSB and National Highway Traffic Safety Administration. The agencies are also investigating other crashes and battery fires involving Tesla vehicles. The crashes raised questions about the driver-assistance system�s ability to detect hazards and has sparked concern about the safety of systems that can perform driving tasks for extended stretches of time with little or no human intervention, but which cannot completely replace human drivers. While Tesla drivers say they are able to avoid holding the steering wheel for extended periods while using Autopilot, Tesla advises drivers to keep their hands on the wheel and pay attention while using the system. In May 2016, a Tesla Model S driver was killed near Williston, Florida, while Autopilot was engaged, when he slammed into a tractor trailer. The NTSB said in 2017 that Tesla lacked proper safeguards allowing the Florida driver �to use the system outside of the environment for which it was designed and the system gave far too much leeway to the driver to divert his attention.� Reporting by David Shepardson; Editing by Bill Berkrot",https://www.reuters.com/article/us-tesla-crash/tesla-autopilot-engaged-in-2018-california-crash-drivers-hands-off-wheel-ntsb-idUSKCN1VO22E?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts

2877,"Byju's in talks to raise $300 mn from Qatar, Canada funds: Report","Bengaluru-based edtech unicorn Byju's is reportedly in talks with sovereign wealth fund Qatar Investment Authority and Canada Pension Plan Investment Board (CPPIB) for a $300-million funding. The two investment bodies had also joined the startup's $300-million fundraising across two separate rounds in December 2018. Notably, Byju's raised $150 million led by Qatar Investment Authority in July.",Livemint,"While SoftBank is still dominant, the late-stage funding market no longer seems to be its domain, with private equity funds like General Atlantic, Carlyle, TPG all betting on technology firms, besides hedge funds such as Coatue Management, and Tiger Global Management.",https://www.livemint.com/companies/start-ups/startups-look-beyond-softbank-to-pension-funds-for-big-cheques-1567532523991.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts

2878,"Dunzo raising $45-50 mn co-led by Google, Lightbox: Report","Bengaluru-based hyperlocal delivery startup Dunzo is reportedly raising $45-50 million in Series D funding round co-led by Google and Lightbox. ""The transaction will be completed within three to four weeks,"" Entrackr quoted its sources. Dunzo, which recently raised over $4.5 million in debt from Alteria Capital, reportedly did so with the condition of raising an equity round before September-end.",Entrackr,"Task management app dunzo has been in conversation with Google to raise fresh funding for the past few months. The round appears closer with a new venture capital joining it. According to two�Entarckr�sources, Lightbox VC will also join the search giant in Series D round.��Google and Lightbox VC will co-lead the $45 to 50 million round along with existing investors,� said sources aware with the details of the transaction. Sources requested anonymity as they aren�t authorised to speak to the media.Google is the existing investor in dunzo. It led�Rs 80.8 crore worth Series B�funding round in December last year along with Blume Ventures and Aspada Investment Advisors. The conversation with both investors is in the final stage.��Lightbox would invest around $25-30 million, with a significant contribution from Google and other existing backers. The transaction will be completed within three to four weeks,� emphasised sources.Ever since its Series B round, the Bengaluru-based startup has been grabbing funds left and right to sustain its substantial cash guzzling operations and expansion. Only last month, dunzo raised about Rs 34.5 crore debt from Alteria Capital.Importantly, one of the conditions of issuing debt by Alteria last week was that the company would raise an equity round before the end of this month. It essentially hints: dunzo is close to raising Series D round. It also�raised $429,000�from US-based an early-stage venture fund Moving Capital.Raising a fresh financing round is the need of the hour for dunzo because of a deep-pocketed new rival � Swiggy Go. Swiggy had already launched dunzo kind of service in Bengaluru with a plan to expand it to other cities.�Entrackr�had�exclusively reported about Swiggy Go�in July.Besides Swiggy Go, it also competes with food ordering majors � Swiggy, Zomato, Swiggy Stores along with bike-taxi firms � Rapido and Ola Bike. Widening its use case, the company also forayed into B2B logistics segment with �Checkout with Dunzo�.Entrackr�queries sent to Google, Lightbox VC and dunzo didn�t elicit any response. We will update the post as when any of them would respond.",https://entrackr.com/2019/09/dunzo-50-mn-series-d-round-led-lightbox-this-month/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts

2879,"Maruti to stop production at Gurugram, Manesar plants for 2 days","India's largest carmaker Maruti Suzuki will not produce any passenger vehicles at its Gurugram and Manesar plants in Haryana on September 7 and 9. The company's installed manufacturing capacity at the two plants stands at around 15 lakh units per annum. The decision comes after Maruti reported a nearly 33% decline in sales at 1,06,413 units in August.",Livemint,"Exports in August were also down by 10.8% at 9,352 units as against 10,489 units in the corresponding month last year, the company said. (With Agency Inputs)",https://www.livemint.com/auto-news/maruti-suzuki-announces-2-day-shutdown-of-gurugram-manesar-plants-1567580980886.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts

