,headlines,text,source,link
7841,Agarwal made just 6% profit on $4.3 bn Anglo investment: Reuters,"Mining mogul Anil Agarwal made just 6% profit from his $4.3 billion investment in Anglo American, held since 2017, even though underlying shares rose over 50% since then, according to Reuters estimates. Agarwal's Volcan Investments had borrowed the amount to fund the acquisition. After accounting for interest payments and investment banking fees, Volcan's profit would have been $243-265 million.",Reuters,https://in.reuters.com/article/us-anglo-volcan-agarwal/mining-mogul-agarwal-made-just-6-profit-on-anglo-investment-reuters-estimate-idINKCN1UL2BF?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7843,"Boxer Ashish wins gold, India bag 8 medals at Thailand Open","Asian Championships silver-medallist boxer Ashish Kumar won the first gold medal of his international career at the Thailand Open in Bangkok on Saturday. Ashish won the gold after defeating Korea's Kim Jinjae 5-0 in the 75 kg category. The Indian contingent ended the tournament with one gold, four silver and three bronze.",Hindustan Times,https://www.hindustantimes.com/other-sports/ashish-kumar-clinches-gold-as-india-grab-eight-medals-at-thailand-open/story-nIhQaRBzmjOumEBo9l8IrM.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7846,"J&K political problem, won't be solved by military means: Mufti","PDP chief Mehbooba Mufti on Saturday tweeted that problem of Jammu and Kashmir is political and couldn't be solved by military means. This comes after the government deployed 10,000 additional paramilitary troops in the state 'for maintaining law and order'. ""Centre's decision...has created fear psychosis amongst people. There is no dearth of security forces in Kashmir,"" Mufti wrote.",The Financial Express,https://www.financialexpress.com/india-news/centre-deploys-10000-additional-troops-in-kashmir-valley-mehbooba-mufti-slams-move/1658207/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7847,Mumbai-Goa national highway shut following heavy rains,"Mumbai-Goa national highway has been shut for traffic since Saturday due to flood in the Jagbudi river in Maharashtra's Ratnagiri following heavy rains, police said. According to an official, the river water gushed on the highway in the morning. Torrential rains since Friday night have triggered a flood-like situation in some parts of Thane, Raigad and Ratnagiri districts.",The Financial Express,https://www.financialexpress.com/india-news/mumbai-rains-weather-forecast-today-live-updates-imd-heavy-rainfall-monsoon/1658004/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts#liveblogstart
7849,"Indian family caught stealing hangers, hair dryers from Bali hotel","A video of an Indian family being busted by the staff of a hotel in Bali, Indonesia, for stealing items including hangers, hair dryers, containers and lotions, etc from their rooms, has gone viral. The staff opened their bags and confronted the family. The family pleaded the staff not to call the police and offered to pay for those items.",Twitter,https://twitter.com/minimathur/status/1155061650237599745?s=20&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7850,Apple contractors for Siri hear couples' sex recordings: The Guardian,"Apple contractors working for Siri regularly hear recordings of drug deals, confidential medical details and couples having sex for quality control, The Guardian reported. ""A small portion of Siri requests are analysed to improve Siri and dictation,"" Apple said. The contractors check whether Siri was activated deliberately or accidentally, whether the response was appropriate, among other things.",The Guardian,https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7852,"Was in excruciating pain, couldn't do it without painkillers: Archer","England pacer Jofra Archer has revealed he was in ""excruciating"" pain after sustaining a side strain during the second half of the 2019 World Cup. ""It was pretty bad. I couldn't do it without painkillers,"" he added. ""I couldn't get a week's rest...because of how close the games were. I only ever needed a week to 10 days,"" he added.",Cricket Country,https://www.cricketcountry.com/news/was-in-excruciating-pain-during-world-cup-2019-couldnt-do-it-without-painkillers-jofra-archer-872644?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7853,"Kidnapper stripped me, forced me to drink at knifepoint: Athlete","Austrian cycling champion Nathalie Birli, who was hit by a van and kidnapped while out training, survived after complimenting her kidnapper on his orchids. The 27-year-old revealed the kidnapper stripped her and forced her to drink at knifepoint in an old house. She added the attacker beat her with a stick and bound her hands with duct tape before kidnapping.",Daily Mail,https://www.dailymail.co.uk/news/article-7288755/Austrian-professional-triathlete-survives-horrific-kidnap-torture-captor-runs-over.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7854,Chandigarh gets BCCI affiliation after nearly 40 years,"Chandigarh on Friday received affiliation from the BCCI after nearly 40 years. Union Territory Cricket Association (UTCA) president Sanjay Tandon said that the association was registered in 1982 and since then various attempts were made to get the affiliation from BCCI. ""Today, the dream of a child who wanted to play from Chandigarh has been fulfilled,"" he further said.",Hindustan Times,https://www.hindustantimes.com/cricket/after-nearly-40-years-chandigarh-gets-bcci-affiliation/story-TsiDTEIjYgqnUobeXC5cyM.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7855,Facebook Co-founder Hughes lobbying to break it up: Reports,"Facebook Co-founder Chris Hughes is lobbying with US government officials and regulators in an attempt to break up the social network, as per reports. ""[Mark Zuckerberg's] power is unprecedented and un-American,"" Hughes had said when he first called for a break-up in May. Hughes, who left Facebook in 2007, had said he feels responsible for Facebook's impact on society.",Times Now,https://www.timesnownews.com/technology-science/article/facebook-co-founder-chris-hughes-reportedly-lobbying-for-firms-break-up/459547?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7856,India asks Iran to free remaining crew on tanker after 9 released,"India's Ministry of External Affairs (MEA) has urged Iran to free the three remaining crew members on board the seized Panama-flagged tanker after it released nine others on Thursday. Iran's Islamic Revolutionary Guard Corps had seized the oil tanker earlier this month, claiming it was carrying one million litres of smuggled fuel.",Reuters,https://in.reuters.com/article/mideast-iran-india/india-urges-iran-to-free-all-its-crew-after-nine-released-idINKCN1UM04L?feedName=worldNews&utm_campaign=fullarticle&feedType=RSS&utm_medium=referral&utm_source=inshorts
7859,"Plates, furniture used as weapons in mass brawl on cruise ship","Plates and furniture were used as weapons in a mass brawl on a British cruise ship after a group took offence at another passenger dressed as a clown, a journalist who was on board said. The group had specifically booked a cruise ship with no fancy dress, a witness told the journalist. Six people were injured in the brawl.",Daily Mail,https://www.dailymail.co.uk/news/article-7292241/Violence-high-seas-clown-sparks-mass-brawl-aboard-P-O-cruise-liner-Britannia.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7860,India's Venezuelan June oil imports highest in 21 months: Reuters,"India's oil imports from Venezuela surged to about 475,200 barrels per day (bpd) in June, the highest in 21 months, according to Reuters data. Private refiners Reliance Industries and Nayara Energy, part-owned by Russia's Rosneft, are the only Indian buyers of Venezuelan oil. These companies had a term deal to buy oil from Venezuela, which predated US sanctions in January.",Reuters,https://www.reuters.com/article/us-india-oil/indias-venezuelan-june-oil-imports-highest-in-seven-quarters-trade-idUSKCN1UL2H6?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7861,Trump says US could tax French wine in retaliation for digital tax,"US President Donald Trump has threatened to tax French wines in retaliation for France's recent proposal to levy a tax aimed at large US technology companies. ""I've always said American wine is better than French wine!"" Trump tweeted. France urged the US not to bring trade tariffs into the debate on ""fair taxation of digital activities"".",Reuters,https://in.reuters.com/article/us-usa-trade-france/trump-says-u-s-could-tax-french-wine-in-retaliation-for-digital-tax-idINKCN1UL291?il=0&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7862,Govt proposes 2 fitness tests in a yr for vehicles older than 15 yrs,"The Ministry of Road Transport and Highways has proposed the renewal of fitness certificates every six months for vehicles older than 15 years instead of the current one year. Further, it also proposed exemption of registration fees for buyers of vehicles if a scrapping certificate of a vehicle, belonging to the same category of the vehicle being purchased, is produced.",Livemint,https://www.livemint.com/news/india/govt-moots-norms-for-scrapping-old-vehicles-hiking-vehicle-registration-fees-1564220259494.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7863,Bangladesh fined for slow over-rate in first Sri Lanka ODI,Bangladesh have been fined for maintaining a slow over-rate in Colombo after the team took 4 hours and 7 minutes to bowl 50 overs in the first ODI against Sri Lanka. The team was found two overs short of its target after time allowances were taken into consideration. Sri Lanka went on to win the match.,Cricket Country,https://www.cricketcountry.com/news/sri-lanka-vs-bangladesh-1st-odi-bangladesh-fined-for-maintaining-slow-over-rate-against-sri-lanka-in-colombo-872753?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7864,"Bangladesh rope in Langeveldt, Vettori as bowling coaches","Bangladesh's cricket board has appointed former South Africa pacer Charl Langeveldt as the team's fast bowling coach while naming former New Zealand captain and spinner Daniel Vettori as the spin bowling coach. While Langeveldt has been given the charge for two years, Vettori will have at least 100 working days till the 2020 ICC World T20 in Australia.",Cricket Country,https://www.cricketcountry.com/news/charl-langeveldt-daniel-vettori-assigned-bangladesh-bowling-coach-roles-872767?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7865,Honour for women's cricket fraternity: Shantha on CAC role,"Former India women's captain Shantha Rangaswamy, who has been named in the three-member Cricket Advisory Committee (CAC), said it is an ""honour and recognition"" not just for her but for entire women's cricket fraternity in India. CAC is responsible for selecting Team India's next head coach. She was also part of the ad-hoc committee that selected India women's head coach.",Cricket Country,https://www.cricketcountry.com/news/honour-and-recognition-for-womens-cricket-shantha-rangaswamy-on-her-appointment-in-cac-to-pick-india-coach-872550?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7866,Bale set for £1 million-a-week move to Jiangsu Suning: Report,"According to reports, Real Madrid's Welsh winger Gareth Bale is set to make a move to Chinese club Jiangsu Suning, who are ready to pay him around £20 million per season. Real Madrid manager Zinedine Zidane had said last weekend that he thought it would be ""best for everyone"" if Bale's departure could be arranged quickly.",Hindustan Times,https://www.hindustantimes.com/football/bale-set-for-1-million-pounds-a-week-jiangsu-suning-move-reports/story-nWceIxkmsaFsSoR9P9idwI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7867,Lewis Hamilton to co-produce Hollywood documentary,"Mercedes' British driver Lewis Hamilton has confirmed he is an executive producer of an upcoming Hollywood documentary, 'The Game Changers'. ""It's a revolutionary new documentary movie and I can't wait for you guys to see it,"" tweeted Hamilton. The documentary's executive production team led by Oscar-winner James Cameron also includes Novak Djokovic and Jackie Chan among others.",Times Now,https://www.timesnownews.com/sports/others/article/lewis-hamilton-confirms-involvement-in-hollywood-documentary/459532?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7868,BJP targeting to become 20-crore-member party: JP Nadda,"BJP Working President JP Nadda on Saturday said his party has enrolled over 11 crore members through its membership drive and it is now targeting to become a 20-crore-member organisation. ""We are not competing against anyone, we are trying to break our own record,"" he added. ""Even all the other political parties say...they can't match the saffron party,"" claimed Nadda.",The Financial Express,https://www.financialexpress.com/india-news/bjp-targeting-to-become-20-crore-member-party-jp-nadda/1658299/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7869,Victory of horse-trading: Siddaramaiah on BJP's govt in Karnataka,"Congress leader Siddaramaiah on Saturday said BJP government in Karnataka was not ""constitutionally or ethically formed"" and called it ""victory of horse-trading"". He added that Karnataka CM BS Yediyurappa's swearing-in was also unconstitutional as they haven't proved their majority yet. ""The strength of the house is 221...They have 105,"" he further said adding that for majority BJP needs 111 MLAs.",The New Indian Express,http://www.newindianexpress.com/states/karnataka/2019/jul/27/bjp-forming-government-in-karnataka-is-victory-of-horsetrading-siddaramaiah-2010291.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7870,18 mn-yr-old remains of world's smallest fossil monkey found,"America's Duke University and Peru's National University of Piura scientists have uncovered 18-million-year-old remains of the world's smallest fossil monkey ever found. The remains were found on an exposed riverbank along Río Alto Madre de Dios in southeastern Peru. The specimen is important because it helps bridge a 15-million-year gap in the fossil record for New World monkeys, scientists said.",Duke University,https://www.today.duke.edu/2019/07/worlds-smallest-fossil-monkey-found-amazon-jungle?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7871,Saw enemy playing its games sitting on high peaks in Kargil: PM,"PM Narendra Modi at a Kargil Vijay Diwas event on Saturday said that he saw enemy playing its games sitting on high peaks in Kargil 20 years ago. ""Death was staring in the face yet our jawans carrying the tricolour wanted to reach the valley before anyone,"" he added. Defence Minister Rajnath Singh was also present at the event.",ANI,https://twitter.com/ANI/status/1155126311079337985?s=20&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7872,9 pregnant women among those rescued from Mahalaxmi Express,"The National Disaster Response Force's (NDRF) Director General SN Pradhan on Saturday said the rescue operation for Mumbai-Kolhapur Mahalaxmi Express went on for around eight hours. ""Women and children were evacuated first, including nine pregnant women, after that elderly people...and finally the male passengers,"" he added. The train was stuck between Badlapur and Vangani due to waterlogging.",Twitter,https://twitter.com/ANI/status/1155074187557347328?s=20&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7873,"Govt deploys 10,000 paramilitary troops in Jammu & Kashmir","The central government on Friday deployed an additional 10,000 paramilitary troops in Jammu and Kashmir. The Home Ministry sent a directive to the Jammu and Kashmir Chief Secretary stating that the additional forces will strengthen the anti-terrorist operation and help to maintain law and order. The decision comes after NSA Ajit Doval's two-day visit to the state.",The New Indian Express,http://www.newindianexpress.com/nation/2019/jul/27/kashmir-on-the-edge-as-10000-more-troops-rush-to-state-after-doval-visit-2010258.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7874,19-year-old top Jaish bomb maker Munna Lahori killed in Kashmir,A top commander of Jaish-e-Mohammed Munna Lahori and his associate were killed in a gunfight with security forces in J&K's Shopian district on Saturday. Lahori hailed from Pakistan and was known for making improvised explosive devices (IED). The 19-year-old is also said to be responsible for vehicle bomb blast attacks on March 30 and June 17 in the valley.,Hindustan Times,https://www.hindustantimes.com/india-news/top-jaish-commander-in-south-kashmir-killed-in-overnight-operation/story-pmy8JQBITGZMjnm7qePN2H.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7875,"Varun faints on film set, pulls off 18-hr shift on return: Reports","Actor Varun Dhawan fainted on the sets of his upcoming film 'Street Dancer 3D' due to low blood pressure and was advised bed rest for a few days, according to reports. Varun, who was also suffering from cold and fever, reportedly returned to work after a day's rest and pulled off an 18-hour shift to keep the film on schedule.",Hindustan Times,https://www.hindustantimes.com/bollywood/varun-dhawan-faints-on-sets-of-super-dancer-3d-due-to-low-blood-pressure-pulls-18-hour-shift-after-returning-to-work/story-9idf0d4lxeJPInHf5vlkKL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7876,What records does Lasith Malinga hold in ODI cricket?,"Lasith Malinga, who retired from ODIs on Friday, is the third-highest ODI wicket-taker for Sri Lanka (338 wickets). The 35-year-old is the only bowler to take three ODI and two World Cup hat-tricks. He has taken the most World Cup wickets (56) among Asian pacers. He also hit the highest score by a number 10 batsman (56) for Sri Lanka.",Hindustan Times,https://www.hindustantimes.com/cricket/lasith-malinga-retires-a-look-at-all-the-records-in-his-remarkable-odi-career/story-7I4MLEU1AzKaCvAVKjBDIL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7878,Contesting elections was a big mistake: Infosys Co-founder Nilekani,"During an interview with ET Now, Infosys Co-founder and former UIDAI Chairman Nandan Nilekani said that contesting elections was a big mistake and he has learnt from it. Nilekani, who contested 2014 Lok Sabha polls from Bangalore South for Congress, lost to BJP's Ananth Kumar. Kumar was then re-elected as MP from the constituency for the sixth consecutive time.",Times Now,https://www.timesnownews.com/business-economy/industry/article/biggest-mistake-was-contesting-elections-nandan-nilekani/459873?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7879,I've stopped doing new startup deals: Infosys Co-founder Nilekani,"Infosys Co-founder and former UIDAI Chairman Nandan Nilekani has said that he has stopped making new individual investments. ""I don't generally invest in areas where I am doing work policy-wise because I don't want any issues,"" he said. Nilekani has made 13 investments in the Indian startup ecosystem, as per Crunchbase, and had also co-founded VC fund Fundamentum in 2017.",The Financial Express,https://www.financialexpress.com/industry/sme/i-have-stopped-doing-new-startup-deals-says-nandan-nilekani-calls-keeping-pace-with-innovation-tough-for-govt/1658289/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7880,Officials give contradictory statements: Rajiv Bajaj on EV policy,"Bajaj Auto MD Rajiv Bajaj has said there has been a lot of 'flip-flopping' in the last two years as far as government's policy on electric vehicles is concerned. ""Sometimes they blow hot, sometimes they blow cold. Sometimes they make very definitive statements. Their own colleagues contradict their statements. And people in the industry are quite confused,"" he added.",Inc42,https://inc42.com/buzz/bajaj-md-rajiv-bajaj-slams-confusing-government-ev-policy-for-electric-vehicles/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7881,Record heatwave in Europe could melt Greenland's ice sheet: WMO,"The record heatwave that swept across much of western Europe is set to move towards Greenland and could cause record melting, the World Meteorological Organization (WMO) said. Greenland lost 160 billion tonnes of ice through surface melting in July, the WMO said, citing data from Denmark's Polar Portal. Increasingly intense heatwaves are linked to manmade climate change, the WMO added.",Reuters,https://uk.reuters.com/article/uk-europe-weather-greenland/europes-record-heatwave-threatens-greenland-ice-sheet-idUKKCN1UL14U?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7882,Stanford builds device that counts individual sound particles,"Stanford physicists have developed a highly sensitive ""quantum microphone"" that is capable of measuring individual particles of sound, called phonons. ""We expect this device to allow new types of quantum sensors, transducers and storage devices for future quantum machines,"" researchers said. It could lead to quantum computers that operate by manipulating sound rather than light, they added.",Stanford News,https://news.stanford.edu/2019/07/24/quantum-microphone-counts-particles-sound/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7883,UP SP gives foot massage to Kanwariya; Shamli Police shares video,"Shamli Police department in Uttar Pradesh has shared a video of Superintendent of Police Ajay Kumar giving a foot massage to a Kanwariya at a medical camp. ""Service along with protection,"" the department tweeted, adding that the medical camp was inaugurated by Kumar. This comes after CM Yogi Adityanath instructed officials to ensure ""safe, successful and clean"" Kanwar Yatra.",Twitter,https://twitter.com/shamlipolice/status/1154776172128948224?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7886,London Stock Exchange in talks to buy Refinitiv for $27 billion,"The London Stock Exchange Group on Friday said it was in discussions to acquire financial data and trading platform provider Refinitiv Holdings for $27 billion, including debt. LSE said it would pay for the transaction entirely with newly issued shares. A Blackstone Group-led consortium bought a 55% stake in Refinitiv last year from professional information company Thomson Reuters.",Reuters,https://www.reuters.com/article/us-refinitiv-m-a-lse/london-stock-exchange-in-talks-to-buy-refinitiv-for-27-billion-idUSKCN1UL2FA?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7888,"I don't follow cricket, B'wood, politics to be productive: Nilekani","Infosys Co-founder Nandan Nilekani in an interview to ET Now said that he does not follow cricket, Bollywood and politics to be more productive. He went on to call his decision to contest elections ""a big mistake"". He added he admires Microsoft CEO Satya Nadella and called his work at the company ""astonishing"" as it achieved a trillion-dollar market cap.",Times Now,https://www.timesnownews.com/business-economy/industry/article/biggest-mistake-was-contesting-elections-nandan-nilekani/459873?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7889,England captain Joe Root calls Lords pitch substandard,"Following England's win over Ireland in the one-off Test at Lord's, England's Test captain Joe Root criticised the ground's pitch, calling it 'substandard'. England were dismissed for 85 in the first innings as Tim Murtagh scalped five wickets. ""We weren't at our best by any stretch. We managed certain periods very well. We were put under pressure,"" Root added.",Hindustan Times,https://www.hindustantimes.com/cricket/england-captain-joe-root-slams-lord-s-pitch-calls-it-substandard/story-1bLIBtpwPeFopalvN4XGLO.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7891,Isner first tennis player to sign deal with cannabis CBD company,"USA's top-ranked tennis player John Isner has become the first professional tennis player to sign an endorsement deal with a cannabis-based CBD company that manufactures a CBD-infused sports drink. Recently, a Canada-based company partnered with the Ultimate Fighting Championship (UFC) to research CBD use to manage pain and inflammation in MMA athletes.",TO BE CHANGED,https://sports.yahoo.com/john-isner-endorsement-cbd-marijuana-sports-drink-company-025845602.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7892,Barcelona planning for post-Lionel Messi era: Club president,"FC Barcelona's president Josep Maria Bartomeu says they are working on a plan for when Lionel Messi finally calls time on his football career. ""We have to think about this changing era when Messi will give up playing football but, as president, I hope that he is going to be (having) very large years playing with us still,"" Bartomeu added.",Hindustan Times,https://www.hindustantimes.com/football/barcelona-planning-for-post-lionel-messi-era-says-club-president/story-3Z8wKgT4vjuTY9qpBNxszN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7893,Developing tech for next billion online users in India: Google CEO,"Google CEO Sundar Pichai has said that the technology giant is developing technology for the next billion users coming online in countries including India, Brazil and Indonesia. Pichai also said Google is working towards making privacy controls more easily accessible. ""We continue to challenge the notion that products need more data to be more helpful,"" he added.",The News Minute,https://www.thenewsminute.com/article/google-working-towards-making-privacy-controls-more-easily-accessible-ceo-pichai-106230?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7894,Have power to face a man like Azam Khan: BJP MP Rama Devi,"BJP MP Rama Devi on Saturday said that she has the power to face a man like SP leader Azam Khan. This comes after Khan told the BJP MP in Lok Sabha on Thursday that he is ""fond"" of her and he feels like looking into her eyes. Devi was presiding over a Lok Sabha session when the incident happened.",Hindustan Times,https://www.hindustantimes.com/india-news/have-power-to-face-a-man-like-azam-khan-says-rama-devi/story-TvokkN8bpF3l7oFs0jAbYK.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7895,UP farmers are getting threats of confiscation daily: Priyanka,"Congress' Priyanka Gandhi Vadra on Saturday targeted UP government over a report of five farmer suicides in Bundelkhand. ""Bundelkhand farmers get confiscation threats daily. What kind of policy and loan waiver schemes is it that farmers are left with no option but to commit suicide?"" she tweeted. She also wrote that farmers don't get the right price for their crop.",The Financial Express,https://www.financialexpress.com/india-news/priyanka-gandhi-slams-up-government-over-farmer-suicides/1658051/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7897,250 CA answer sheets found with unauthorised man in Kolkata,"Kolkata Police on Wednesday found 250 CA exam answer sheets at the residence of an unauthorised person. The man, who works as an accountant at a CA firm, claimed the copies were given to him by his employer who was the authorised examiner. ICAI, the organisation that conducts the CA exams, said it has initiated proceedings against both persons.",The Quint,https://www.thequint.com/news/education/ca-exam-answer-sheets-found-with-unauthorised-person-in-kolkata?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7898,"Bihar floods death toll rises to 127, over 82 lakh affected","The death toll in the Bihar floods, which have affected over 82 lakh people, rose to 127 on Friday. Bihar Chief Minister Nitish Kumar told the state Assembly that he will write to the Centre to provide assistance. The state government has deployed 900 personnel with 133 boats to conduct rescue operations, who are assisted by 19 NDRF teams.",Times Now,https://www.timesnownews.com/india/article/at-least-127-dead-as-flood-situation-in-bihar-worsens-nitish-kumar-seeks-centres-assistance/459788?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7900,"Asaram, son get clean chit in Gurukul children death case","Self-styled godman Asaram and his son Narayan Sai have been given a clean chit by Justice DK Trivedi Commission in the 2008 death case of two children who studied at Asaram's Gurukul. The clean chit was given to the duo after 12 years. The commission, however, said that the Gurukul management's negligence resulted in the death of the two children.",ANI,https://www.aninews.in/news/national/general-news/jailed-godman-asaram-son-narayan-sai-given-clean-chit-in-death-case-of-two-gurukul-children20190726223613/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7901,All 700 on Mumbai-Kolhapur train stuck due to waterlogging rescued,"All 700 people on board the Mumbai-Kolhapur Mahalaxmi Express, which was stuck between Badlapur and Vangani due to waterlogging, have been rescued after around 12 hours. Seven Navy teams and two IAF helicopters were deployed along with NDRF to rescue the people. ""Necessary arrangements like food, etc made...14 buses, 3 tempos arranged for further movement,"" Maharashtra Chief Minister's Office tweeted.",Twitter,https://twitter.com/ANI/status/1155047478301007873?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7902,Korean nightclub balcony drops 16 feet as swimmers dance; 2 dead,"A balcony and a staircase inside a nightclub in South Korea's Gwangju dropped around 16 feet at 2.30 AM (local time) on Saturday as many including athletes participating in world aquatic championships were dancing. Two South Koreans, a 38-year-old and a 27-year-old, were taken to hospital where they succumbed to injuries. Over 15 people including eight international swimmers, suffered injuries.",Reuters,https://www.reuters.com/article/us-southkorea-nightclub/two-south-koreans-dead-several-aquatic-athletes-hurt-in-nightclub-collapse-official-idUSKCN1UM01B?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7903,"Stokes reappointed vice-captain, Archer earns maiden Test call-up","England on Saturday named their 14-member squad for the first Ashes Test, which will commence at Edgbaston on Thursday. Ben Stokes has been reappointed as vice-captain, while Barbados-born pacer Jofra Archer, who was England's highest wicket-taker in 2019 World Cup, has been included in Test squad for the first time. Jos Buttler, who was rested for Ireland Test, also returns.",The Guardian,https://www.theguardian.com/sport/2019/jul/27/ben-stokes-jofra-archer-england-ashes-squad-first-test?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7904,"WhatsApp told to trace messages in India, says Ravi Shankar","Union IT Minister Ravi Shankar Prasad has said that he has asked WhatsApp Global Head Will Cathcart to enable traceability of messages in India to prevent unwanted incidents. ""A mechanism should be developed by them...request for that will also come from an appropriately high level,"" Prasad said. He added the platform has assured a ""prompt action"" over the same.",The Financial Express,https://www.financialexpress.com/industry/trace-origin-of-mischievous-messages-ravi-shankar-prasad-to-whatsapp/1657934/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7905,WhatsApp crosses 40 crore monthly active users in India,"Facebook-owned WhatsApp has confirmed it has crossed over 40 crore monthly active users in its biggest market India, a hike of over 100% in the past two years. WhatsApp Global Head Will Cathcart met with NITI Aayog CEO Amitabh Kant and Union IT Minister Ravi Shankar Prasad. Cathcart had announced WhatsApp's payment service will be launched in India this year.",TechCrunch,https://techcrunch.com/2019/07/26/whatsapp-india-users-400-million/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7907,4-day I-T raid on Haryana Congress MLA Kuldeep Bishnoi ends,"The Income Tax Department on Friday concluded its tax evasion-related search operation on the properties of Haryana Congress MLA Kuldeep Bishnoi on its fourth day. Bishnoi's properties in Hisar, Mandi Adampur, Gurugram and Delhi were searched as part of the raid. Bishnoi's wife Renuka, who is a Congress MLA from Hansi, was not present when the tax officials arrived.",The Quint,https://www.thequint.com/news/hot-news/i-t-raids-end-on-haryana-congress-mla-bishnoi-s-premises?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7908,"BigBasket shuts down on-demand delivery in NCR, Mumbai: Report","Bengaluru-based online grocery delivery startup BigBasket has shut down its on-demand, under-90-minute delivery service in areas including the National Capital Region (NCR), Mumbai, Pune and Lucknow, among others, Entrackr reported. The on-demand feature is also not available for premium BBStar members, the report said. However, the on-demand service is reportedly still operational in Bengaluru.",Entrackr,https://entrackr.com/2019/07/bigbasket-shut-down-on-demand-service/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7909,21-yr-old UP girl Vidisha becomes 1st Indian to win Miss Deaf World,"Vidisha Baliyan, a 21-year-old girl from Uttar Pradesh, has been crowned Miss Deaf World 2019, the first Indian to bag the title. The international beauty pageant was held in Mbombela, South Africa, and Vidisha was chosen among the 11 finalists from 16 participating countries in the final round. She's a former international tennis player who represented India in the Deaflympics.",Times Now,https://www.timesnownews.com/lifestyle/trending/article/photos-up-girl-vidisha-baliyan-becomes-first-indian-to-bag-the-miss-deaf-world-2019-title/459099?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
